,episode_length,ep_reward,episodes,total_step,average_return
0,20,0.0,0,20,0.0
1,20,-2.0,100,2020,-0.02
2,20,-1.0,200,4020,0.06
3,20,1.0,300,6020,-0.06
4,20,-1.0,400,8020,0.54
5,20,1.0,500,10020,0.73
6,20,1.0,600,12020,0.84
7,20,2.0,700,14020,0.76
8,20,-1.0,800,16020,0.65
9,20,1.0,900,18020,0.43
10,20,2.0,1000,20020,0.67
11,20,2.0,1100,22020,0.81
12,20,1.0,1200,24020,0.82
13,20,1.0,1300,26020,0.73
14,20,1.0,1400,28020,0.77
15,20,0.0,1500,30020,0.82
16,20,0.0,1600,32020,0.82
17,20,2.0,1700,34020,0.85
18,20,1.0,1800,36020,0.81
19,20,1.0,1900,38020,0.97
20,20,0.0,2000,40020,0.66
21,20,-1.0,2100,42020,0.71
22,20,0.0,2200,44020,0.81
23,20,1.0,2300,46020,0.96
24,20,2.0,2400,48020,1.16
25,20,2.0,2500,50020,1.0
26,20,1.0,2600,52020,1.06
27,20,0.0,2700,54020,0.91
28,20,1.0,2800,56020,1.03
29,20,1.0,2900,58020,1.06
30,20,1.0,3000,60020,1.16
31,20,1.0,3100,62020,1.34
32,20,1.0,3200,64020,1.09
33,20,2.0,3300,66020,1.27
34,20,2.0,3400,68020,1.14
35,20,1.0,3500,70020,1.11
36,20,2.0,3600,72020,1.07
37,20,2.0,3700,74020,1.14
38,20,2.0,3800,76020,1.25
39,20,1.0,3900,78020,1.2
40,20,1.0,4000,80020,1.18
41,20,1.0,4100,82020,1.17
42,20,2.0,4200,84020,1.15
43,20,1.0,4300,86020,1.13
44,20,0.0,4400,88020,1.26
45,20,1.0,4500,90020,1.19
46,20,1.0,4600,92020,1.27
47,20,1.0,4700,94020,1.34
48,20,1.0,4800,96020,1.18
49,20,1.0,4900,98020,1.18
50,20,1.0,5000,100020,1.17
51,20,1.0,5100,102020,1.27
52,20,1.0,5200,104020,1.22
53,20,1.0,5300,106020,1.2
54,20,0.0,5400,108020,1.12
55,20,1.0,5500,110020,1.27
56,20,0.0,5600,112020,1.15
57,20,2.0,5700,114020,1.1
58,20,1.0,5800,116020,1.12
59,20,1.0,5900,118020,1.2
60,20,1.0,6000,120020,1.18
61,20,0.0,6100,122020,1.16
62,20,2.0,6200,124020,1.22
63,20,2.0,6300,126020,1.17
64,20,2.0,6400,128020,1.2
65,20,1.0,6500,130020,1.2
66,20,0.0,6600,132020,1.23
67,20,1.0,6700,134020,1.27
68,20,0.0,6800,136020,1.1
69,20,2.0,6900,138020,1.17
70,20,1.0,7000,140020,1.05
71,20,1.0,7100,142020,1.31
72,20,2.0,7200,144020,1.15
73,20,1.0,7300,146020,1.27
74,20,1.0,7400,148020,1.29
75,20,1.0,7500,150020,1.2
76,20,2.0,7600,152020,1.16
77,20,1.0,7700,154020,1.15
78,20,1.0,7800,156020,1.16
79,20,2.0,7900,158020,1.29
80,20,2.0,8000,160020,1.3
81,20,1.0,8100,162020,1.15
82,20,2.0,8200,164020,1.08
83,20,1.0,8300,166020,1.07
84,20,1.0,8400,168020,1.03
85,20,0.0,8500,170020,1.11
86,20,1.0,8600,172020,1.25
87,20,1.0,8700,174020,1.13
88,20,2.0,8800,176020,1.18
89,20,1.0,8900,178020,1.25
90,20,2.0,9000,180020,1.19
91,20,2.0,9100,182020,1.29
92,20,1.0,9200,184020,1.12
93,20,0.0,9300,186020,1.23
94,20,1.0,9400,188020,1.29
95,20,2.0,9500,190020,1.09
96,20,2.0,9600,192020,1.12
97,20,1.0,9700,194020,1.09
98,20,1.0,9800,196020,1.16
99,20,2.0,9900,198020,1.2
100,20,1.0,10000,200020,1.22
